;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 10/12/2023 9:55:01 PM
;----------------------------------------------

;Address Opcode 	ASM
0x02B3	0x2AB5      	GOTO       SETEXP08
;__Lib_MathDouble.c,1697 :: 		
0x02B4	0x2AD3      	GOTO       SETIOV08
;__Lib_MathDouble.c,1698 :: 		
SETEXP08:
;__Lib_MathDouble.c,1699 :: 		
0x02B5	0x09F3      	COMF       R3, 1
;__Lib_MathDouble.c,1700 :: 		
0x02B6	0x0AF3      	INCF       R3, 1
;__Lib_MathDouble.c,1702 :: 		
0x02B7	0x3008      	MOVLW      8
;__Lib_MathDouble.c,1703 :: 		
0x02B8	0x0273      	SUBWF      R3, 0
;__Lib_MathDouble.c,1704 :: 		
0x02B9	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,1705 :: 		
0x02BA	0x2AC2      	GOTO       TSHIFT3208
;__Lib_MathDouble.c,1706 :: 		
0x02BB	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,1707 :: 		
0x02BC	0x0DF2      	RLF        R2, 1
;__Lib_MathDouble.c,1708 :: 		
0x02BD	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,1710 :: 		
0x02BE	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,1711 :: 		
0x02BF	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,1712 :: 		
0x02C0	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,1713 :: 		
0x02C1	0x2AC9      	GOTO       SHIFT3208OK
;__Lib_MathDouble.c,1714 :: 		
TSHIFT3208:
;__Lib_MathDouble.c,1715 :: 		
0x02C2	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,1716 :: 		
0x02C3	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1717 :: 		
0x02C4	0x2AC9      	GOTO       SHIFT3208OK
;__Lib_MathDouble.c,1718 :: 		
SHIFT3208:
;__Lib_MathDouble.c,1719 :: 		
0x02C5	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,1720 :: 		
0x02C6	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,1721 :: 		
0x02C7	0x0BF3      	DECFSZ     R3, 1
;__Lib_MathDouble.c,1722 :: 		
0x02C8	0x2AC5      	GOTO       SHIFT3208
;__Lib_MathDouble.c,1723 :: 		
SHIFT3208OK:
;__Lib_MathDouble.c,1724 :: 		
0x02C9	0x1B7B      	BTFSC      R11, 6
;__Lib_MathDouble.c,1725 :: 		
0x02CA	0x1C72      	BTFSS      R2, 0
;__Lib_MathDouble.c,1726 :: 		
0x02CB	0x2AD1      	GOTO       INT3208OK
;__Lib_MathDouble.c,1727 :: 		
0x02CC	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,1728 :: 		
0x02CD	0x2AD1      	GOTO       INT3208OK
;__Lib_MathDouble.c,1729 :: 		
0x02CE	0x0AF2      	INCF       R2, 1
;__Lib_MathDouble.c,1730 :: 		
0x02CF	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1731 :: 		
0x02D0	0x2AD8      	GOTO       D2B_JPKSETIOV3224
;__Lib_MathDouble.c,1732 :: 		
INT3208OK:
;__Lib_MathDouble.c,1733 :: 		
IRES008:
;__Lib_MathDouble.c,1734 :: 		
0x02D1	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,1735 :: 		
0x02D2	0x2ADB      	GOTO       INT3208EOK
;__Lib_MathDouble.c,1736 :: 		
SETIOV08:
;__Lib_MathDouble.c,1737 :: 		
0x02D3	0x147B      	BSF        R11, 0
;__Lib_MathDouble.c,1738 :: 		
0x02D4	0x1FFB      	BTFSS      R11, 7
;__Lib_MathDouble.c,1739 :: 		
0x02D5	0x2ADE      	GOTO       INT3208EER
;__Lib_MathDouble.c,1741 :: 		
0x02D6	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,1742 :: 		
0x02D7	0x2ADE      	GOTO       INT3208EER
;__Lib_MathDouble.c,1743 :: 		
D2B_JPKSETIOV3224:
;__Lib_MathDouble.c,1744 :: 		
0x02D8	0x3001      	MOVLW      1
;__Lib_MathDouble.c,1745 :: 		
0x02D9	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,1746 :: 		
0x02DA	0x2AE0      	GOTO       INT3208EEE
;__Lib_MathDouble.c,1747 :: 		
INT3208EOK:
;__Lib_MathDouble.c,1748 :: 		
0x02DB	0x3000      	MOVLW      0
;__Lib_MathDouble.c,1749 :: 		
0x02DC	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,1750 :: 		
0x02DD	0x2AE0      	GOTO       INT3208EEE
;__Lib_MathDouble.c,1751 :: 		
INT3208EER:
;__Lib_MathDouble.c,1752 :: 		
0x02DE	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,1753 :: 		
0x02DF	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,1754 :: 		
INT3208EEE:
;__Lib_MathDouble.c,1757 :: 		
0x02E0	0x08FC      	MOVF       R12, 1
;__Lib_MathDouble.c,1759 :: 		
0x02E1	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1760 :: 		
0x02E2	0x2AE4      	GOTO       L_Double2Byte_0
;__Lib_MathDouble.c,1762 :: 		
0x02E3	0x2143      	CALL       _SETIOV3224
;__Lib_MathDouble.c,1764 :: 		
L_Double2Byte_0:
;__Lib_MathDouble.c,1765 :: 		
0x02E4	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,1766 :: 		
0x02E5	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,1770 :: 		
L_end_double2byte:
0x02E6	0x0008      	RETURN
; end of _double2byte
_ADC_Read:
;__Lib_ADC_A_C.c,45 :: 		
;__Lib_ADC_A_C.c,47 :: 		
0x02E7	0x1283      	BCF        STATUS, 5
0x02E8	0x1303      	BCF        STATUS, 6
0x02E9	0x019F      	CLRF       ADCON0
;__Lib_ADC_A_C.c,48 :: 		
0x02EA	0x30C0      	MOVLW      192
0x02EB	0x049F      	IORWF      ADCON0, 1
;__Lib_ADC_A_C.c,49 :: 		
0x02EC	0x1683      	BSF        STATUS, 5
0x02ED	0x171F      	BSF        ADCON1, 6
;__Lib_ADC_A_C.c,50 :: 		
0x02EE	0x179F      	BSF        ADCON1, 7
;__Lib_ADC_A_C.c,51 :: 		
0x02EF	0x0856      	MOVF       FARG_ADC_Read_channel, 0
0x02F0	0x00F0      	MOVWF      R0
0x02F1	0x0DF0      	RLF        R0, 1
0x02F2	0x1070      	BCF        R0, 0
0x02F3	0x0DF0      	RLF        R0, 1
0x02F4	0x1070      	BCF        R0, 0
0x02F5	0x0DF0      	RLF        R0, 1
0x02F6	0x1070      	BCF        R0, 0
0x02F7	0x0870      	MOVF       R0, 0
0x02F8	0x1283      	BCF        STATUS, 5
0x02F9	0x049F      	IORWF      ADCON0, 1
;__Lib_ADC_A_C.c,54 :: 		
0x02FA	0x141F      	BSF        ADCON0, 0
;__Lib_ADC_A_C.c,57 :: 		
0x02FB	0x2168      	CALL       _Delay_22us
;__Lib_ADC_A_C.c,60 :: 		
0x02FC	0x151F      	BSF        ADCON0, 2
;__Lib_ADC_A_C.c,63 :: 		
L_ADC_Read2:
0x02FD	0x1D1F      	BTFSS      ADCON0, 2
0x02FE	0x2B01      	GOTO       L_ADC_Read3
;__Lib_ADC_A_C.c,64 :: 		
0x02FF	0x0000      	NOP
0x0300	0x2AFD      	GOTO       L_ADC_Read2
L_ADC_Read3:
;__Lib_ADC_A_C.c,67 :: 		
0x0301	0x101F      	BCF        ADCON0, 0
;__Lib_ADC_A_C.c,70 :: 		
0x0302	0x081E      	MOVF       ADRESH, 0
0x0303	0x00F1      	MOVWF      R0+1
0x0304	0x01F0      	CLRF       R0
0x0305	0x1683      	BSF        STATUS, 5
0x0306	0x081E      	MOVF       ADRESL, 0
0x0307	0x04F0      	IORWF      R0, 1
0x0308	0x3000      	MOVLW      0
0x0309	0x04F1      	IORWF      R0+1, 1
;__Lib_ADC_A_C.c,71 :: 		
L_end_ADC_Read:
0x030A	0x0008      	RETURN
; end of _ADC_Read
_Lcd_Out:
;__Lib_Lcd.c,184 :: 		
;__Lib_Lcd.c,187 :: 		
0x030B	0x2B1D      	GOTO       L_Lcd_Out11
;__Lib_Lcd.c,188 :: 		
L_Lcd_Out13:
0x030C	0x3080      	MOVLW      128
0x030D	0x1683      	BSF        STATUS, 5
0x030E	0x1303      	BCF        STATUS, 6
0x030F	0x00D6      	MOVWF      FARG_Lcd_Out_row
0x0310	0x2B30      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,189 :: 		
L_Lcd_Out14:
0x0311	0x30C0      	MOVLW      192
0x0312	0x00D6      	MOVWF      FARG_Lcd_Out_row
0x0313	0x2B30      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,190 :: 		
L_Lcd_Out15:
0x0314	0x3094      	MOVLW      148
0x0315	0x00D6      	MOVWF      FARG_Lcd_Out_row
0x0316	0x2B30      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,191 :: 		
L_Lcd_Out16:
0x0317	0x30D4      	MOVLW      212
0x0318	0x00D6      	MOVWF      FARG_Lcd_Out_row
0x0319	0x2B30      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,192 :: 		
L_Lcd_Out17:
0x031A	0x3080      	MOVLW      128
0x031B	0x00D6      	MOVWF      FARG_Lcd_Out_row
;__Lib_Lcd.c,193 :: 		
0x031C	0x2B30      	GOTO       L_Lcd_Out12
L_Lcd_Out11:
0x031D	0x1683      	BSF        STATUS, 5
0x031E	0x1303      	BCF        STATUS, 6
0x031F	0x0856      	MOVF       FARG_Lcd_Out_row, 0
0x0320	0x3A01      	XORLW      1
0x0321	0x1903      	BTFSC      STATUS, 2
0x0322	0x2B0C      	GOTO       L_Lcd_Out13
0x0323	0x0856      	MOVF       FARG_Lcd_Out_row, 0
0x0324	0x3A02      	XORLW      2
0x0325	0x1903      	BTFSC      STATUS, 2
0x0326	0x2B11      	GOTO       L_Lcd_Out14
0x0327	0x0856      	MOVF       FARG_Lcd_Out_row, 0
0x0328	0x3A03      	XORLW      3
0x0329	0x1903      	BTFSC      STATUS, 2
0x032A	0x2B14      	GOTO       L_Lcd_Out15
0x032B	0x0856      	MOVF       FARG_Lcd_Out_row, 0
0x032C	0x3A04      	XORLW      4
0x032D	0x1903      	BTFSC      STATUS, 2
0x032E	0x2B17      	GOTO       L_Lcd_Out16
0x032F	0x2B1A      	GOTO       L_Lcd_Out17
L_Lcd_Out12:
;__Lib_Lcd.c,194 :: 		
0x0330	0x0357      	DECF       FARG_Lcd_Out_column, 0
0x0331	0x00F0      	MOVWF      R0
0x0332	0x0856      	MOVF       FARG_Lcd_Out_row, 0
0x0333	0x07F0      	ADDWF      R0, 1
0x0334	0x0870      	MOVF       R0, 0
0x0335	0x00D6      	MOVWF      FARG_Lcd_Out_row
;__Lib_Lcd.c,196 :: 		
0x0336	0x0870      	MOVF       R0, 0
0x0337	0x00DB      	MOVWF      FARG_Lcd_Cmd_out_char
0x0338	0x2089      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,197 :: 		
0x0339	0x1683      	BSF        STATUS, 5
0x033A	0x1055      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,198 :: 		
0x033B	0x01D9      	CLRF       Lcd_Out_i_L0
;__Lib_Lcd.c,199 :: 		
L_Lcd_Out18:
0x033C	0x0859      	MOVF       Lcd_Out_i_L0, 0
0x033D	0x0758      	ADDWF      FARG_Lcd_Out_text, 0
0x033E	0x0084      	MOVWF      FSR
0x033F	0x0800      	MOVF       INDF, 0
0x0340	0x1903      	BTFSC      STATUS, 2
0x0341	0x2B4A      	GOTO       L_Lcd_Out19
;__Lib_Lcd.c,200 :: 		
0x0342	0x0859      	MOVF       Lcd_Out_i_L0, 0
0x0343	0x0758      	ADDWF      FARG_Lcd_Out_text, 0
0x0344	0x0084      	MOVWF      FSR
0x0345	0x0800      	MOVF       INDF, 0
0x0346	0x00DA      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0347	0x215F      	CALL       _Lcd_Chr_CP
0x0348	0x0AD9      	INCF       Lcd_Out_i_L0, 1
0x0349	0x2B3C      	GOTO       L_Lcd_Out18
L_Lcd_Out19:
;__Lib_Lcd.c,201 :: 		
0x034A	0x1455      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,202 :: 		
L_end_Lcd_Out:
0x034B	0x0008      	RETURN
; end of _Lcd_Out
_Lcd_Init:
;__Lib_Lcd.c,84 :: 		
;__Lib_Lcd.c,86 :: 		
0x034C	0x1683      	BSF        STATUS, 5
0x034D	0x1303      	BCF        STATUS, 6
0x034E	0x1287      	BCF        LCD_EN_Direction, BitPos(LCD_EN_Direction+0)
;__Lib_Lcd.c,87 :: 		
0x034F	0x1207      	BCF        LCD_RS_Direction, BitPos(LCD_RS_Direction+0)
;__Lib_Lcd.c,88 :: 		
0x0350	0x1007      	BCF        LCD_D4_Direction, BitPos(LCD_D4_Direction+0)
;__Lib_Lcd.c,89 :: 		
0x0351	0x1087      	BCF        LCD_D5_Direction, BitPos(LCD_D5_Direction+0)
;__Lib_Lcd.c,90 :: 		
0x0352	0x1107      	BCF        LCD_D6_Direction, BitPos(LCD_D6_Direction+0)
;__Lib_Lcd.c,91 :: 		
0x0353	0x1187      	BCF        LCD_D7_Direction, BitPos(LCD_D7_Direction+0)
;__Lib_Lcd.c,93 :: 		
0x0354	0x1283      	BCF        STATUS, 5
0x0355	0x1287      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,94 :: 		
0x0356	0x1207      	BCF        LCD_RS, BitPos(LCD_RS+0)
;__Lib_Lcd.c,95 :: 		
0x0357	0x1187      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,96 :: 		
0x0358	0x1107      	BCF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,97 :: 		
0x0359	0x1087      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,98 :: 		
0x035A	0x1007      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,100 :: 		
0x035B	0x2079      	CALL       _Delay_5500us
;__Lib_Lcd.c,101 :: 		
0x035C	0x2079      	CALL       _Delay_5500us
;__Lib_Lcd.c,102 :: 		
0x035D	0x2079      	CALL       _Delay_5500us
;__Lib_Lcd.c,105 :: 		
0x035E	0x1487      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,106 :: 		
0x035F	0x1407      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,107 :: 		
0x0360	0x1687      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,108 :: 		
0x0361	0x2086      	CALL       _Delay_1us
;__Lib_Lcd.c,109 :: 		
0x0362	0x1287      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,110 :: 		
0x0363	0x2079      	CALL       _Delay_5500us
;__Lib_Lcd.c,112 :: 		
0x0364	0x1687      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,113 :: 		
0x0365	0x2086      	CALL       _Delay_1us
;__Lib_Lcd.c,114 :: 		
0x0366	0x1287      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,115 :: 		
0x0367	0x2079      	CALL       _Delay_5500us
;__Lib_Lcd.c,117 :: 		
0x0368	0x1687      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,118 :: 		
0x0369	0x2086      	CALL       _Delay_1us
;__Lib_Lcd.c,119 :: 		
0x036A	0x1287      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,120 :: 		
0x036B	0x2079      	CALL       _Delay_5500us
;__Lib_Lcd.c,123 :: 		
0x036C	0x1007      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,124 :: 		
0x036D	0x1687      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,125 :: 		
0x036E	0x2086      	CALL       _Delay_1us
;__Lib_Lcd.c,126 :: 		
0x036F	0x1287      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,127 :: 		
0x0370	0x2079      	CALL       _Delay_5500us
;__Lib_Lcd.c,130 :: 		
0x0371	0x1687      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,131 :: 		
0x0372	0x2086      	CALL       _Delay_1us
;__Lib_Lcd.c,132 :: 		
0x0373	0x1287      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,134 :: 		
0x0374	0x1087      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,135 :: 		
0x0375	0x1587      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,136 :: 		
0x0376	0x1687      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,137 :: 		
0x0377	0x2086      	CALL       _Delay_1us
;__Lib_Lcd.c,138 :: 		
0x0378	0x1287      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,139 :: 		
0x0379	0x2079      	CALL       _Delay_5500us
;__Lib_Lcd.c,142 :: 		
0x037A	0x1187      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,143 :: 		
0x037B	0x1407      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,144 :: 		
0x037C	0x1687      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,145 :: 		
0x037D	0x2086      	CALL       _Delay_1us
;__Lib_Lcd.c,146 :: 		
0x037E	0x1287      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,148 :: 		
0x037F	0x1007      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,149 :: 		
0x0380	0x1687      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,150 :: 		
0x0381	0x2086      	CALL       _Delay_1us
;__Lib_Lcd.c,151 :: 		
0x0382	0x1287      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,152 :: 		
0x0383	0x2079      	CALL       _Delay_5500us
;__Lib_Lcd.c,155 :: 		
0x0384	0x1687      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,156 :: 		
0x0385	0x2086      	CALL       _Delay_1us
;__Lib_Lcd.c,157 :: 		
0x0386	0x1287      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,159 :: 		
0x0387	0x1407      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,160 :: 		
0x0388	0x1687      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,161 :: 		
0x0389	0x2086      	CALL       _Delay_1us
;__Lib_Lcd.c,162 :: 		
0x038A	0x1287      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,163 :: 		
0x038B	0x2079      	CALL       _Delay_5500us
;__Lib_Lcd.c,166 :: 		
0x038C	0x1007      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,167 :: 		
0x038D	0x1687      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,168 :: 		
0x038E	0x2086      	CALL       _Delay_1us
;__Lib_Lcd.c,169 :: 		
0x038F	0x1287      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,171 :: 		
0x0390	0x1587      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,172 :: 		
0x0391	0x1507      	BSF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,173 :: 		
0x0392	0x1487      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,174 :: 		
0x0393	0x1407      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,175 :: 		
0x0394	0x1687      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,176 :: 		
0x0395	0x2086      	CALL       _Delay_1us
;__Lib_Lcd.c,177 :: 		
0x0396	0x1287      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,179 :: 		
0x0397	0x2079      	CALL       _Delay_5500us
;__Lib_Lcd.c,181 :: 		
0x0398	0x1683      	BSF        STATUS, 5
0x0399	0x1455      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,182 :: 		
L_end_Lcd_Init:
0x039A	0x0008      	RETURN
; end of _Lcd_Init
_Keypad_Init:
;__Lib_Keypad4x4.c,33 :: 		
;__Lib_Keypad4x4.c,34 :: 		
0x039B	0x30FF      	MOVLW      255
0x039C	0x1683      	BSF        STATUS, 5
0x039D	0x1303      	BCF        STATUS, 6
0x039E	0x0088      	MOVWF      keypadPort+128
;__Lib_Keypad4x4.c,35 :: 		
L_end_Keypad_Init:
0x039F	0x0008      	RETURN
; end of _Keypad_Init
_ADC_Init:
;__Lib_ADC_A_C.c,9 :: 		
;__Lib_ADC_A_C.c,10 :: 		
0x03A0	0x30FF      	MOVLW      _ADC_Get_Sample
0x03A1	0x1683      	BSF        STATUS, 5
0x03A2	0x1303      	BCF        STATUS, 6
0x03A3	0x00D2      	MOVWF      _ADC_Get_Sample_Ptr
0x03A4	0x30FF      	MOVLW      hi_addr(_ADC_Get_Sample)
0x03A5	0x00D3      	MOVWF      _ADC_Get_Sample_Ptr+1
0x03A6	0x30FF      	MOVLW      FARG_ADC_Get_Sample_channel
0x03A7	0x00D4      	MOVWF      _ADC_Get_Sample_Ptr+2
0x03A8	0x30FF      	MOVLW      hi_addr(FARG_ADC_Get_Sample_channel)
;__Lib_ADC_A_C.c,12 :: 		
0x03A9	0x1283      	BCF        STATUS, 5
0x03AA	0x019F      	CLRF       ADCON0
;__Lib_ADC_A_C.c,13 :: 		
0x03AB	0x30C0      	MOVLW      192
0x03AC	0x049F      	IORWF      ADCON0, 1
;__Lib_ADC_A_C.c,14 :: 		
0x03AD	0x1683      	BSF        STATUS, 5
0x03AE	0x171F      	BSF        ADCON1, 6
;__Lib_ADC_A_C.c,15 :: 		
0x03AF	0x179F      	BSF        ADCON1, 7
;__Lib_ADC_A_C.c,18 :: 		
0x03B0	0x1283      	BCF        STATUS, 5
0x03B1	0x141F      	BSF        ADCON0, 0
;__Lib_ADC_A_C.c,19 :: 		
L_end_ADC_Init:
0x03B2	0x0008      	RETURN
; end of _ADC_Init
_Compare_Double:
;__Lib_MathDouble.c,2053 :: 		
;__Lib_MathDouble.c,2062 :: 		
;__Lib_MathDouble.c,2064 :: 		
0x03B3	0x1283      	BCF        STATUS, 5
;__Lib_MathDouble.c,2065 :: 		
0x03B4	0x1303      	BCF        STATUS, 6
;__Lib_MathDouble.c,2067 :: 		
0x03B5	0x01FA      	CLRF       R10
;__Lib_MathDouble.c,2068 :: 		
0x03B6	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,2069 :: 		
0x03B7	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,2070 :: 		
0x03B8	0x147A      	BSF        R10, 0
;__Lib_MathDouble.c,2071 :: 		
0x03B9	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,2072 :: 		
0x03BA	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,2073 :: 		
0x03BB	0x14FA      	BSF        R10, 1
;__Lib_MathDouble.c,2075 :: 		
0x03BC	0x087A      	MOVF       R10, 0
;__Lib_MathDouble.c,2076 :: 		
0x03BD	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,2077 :: 		
0x03BE	0x2BFF      	GOTO       COMPARE_EQU
;__Lib_MathDouble.c,2078 :: 		
0x03BF	0x3A03      	XORLW      3
;__Lib_MathDouble.c,2079 :: 		
0x03C0	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,2080 :: 		
0x03C1	0x2BCA      	GOTO       COMPARE_NOTZERO
;__Lib_MathDouble.c,2082 :: 		
0x03C2	0x187A      	BTFSC      R10, 0
;__Lib_MathDouble.c,2083 :: 		
0x03C3	0x2BC7      	GOTO       COMPARE_XNOTZERO
;__Lib_MathDouble.c,2085 :: 		
0x03C4	0x1FF6      	BTFSS      R6, 7
;__Lib_MathDouble.c,2086 :: 		
0x03C5	0x2BFD      	GOTO       COMPARE_LT
;__Lib_MathDouble.c,2087 :: 		
0x03C6	0x2BFB      	GOTO       COMPARE_GT
;__Lib_MathDouble.c,2088 :: 		
COMPARE_XNOTZERO:
;__Lib_MathDouble.c,2089 :: 		
0x03C7	0x1FF2      	BTFSS      R2, 7
;__Lib_MathDouble.c,2090 :: 		
0x03C8	0x2BFB      	GOTO       COMPARE_GT
;__Lib_MathDouble.c,2091 :: 		
0x03C9	0x2BFD      	GOTO       COMPARE_LT
;__Lib_MathDouble.c,2093 :: 		
COMPARE_NOTZERO:
;__Lib_MathDouble.c,2094 :: 		
0x03CA	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,2095 :: 		
0x03CB	0x3980      	ANDLW      128
;__Lib_MathDouble.c,2096 :: 		
0x03CC	0x00FA      	MOVWF      R10
;__Lib_MathDouble.c,2097 :: 		
0x03CD	0x13F2      	BCF        R2, 7
;__Lib_MathDouble.c,2099 :: 		
0x03CE	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,2100 :: 		
0x03CF	0x3980      	ANDLW      128
;__Lib_MathDouble.c,2101 :: 		
0x03D0	0x13F6      	BCF        R6, 7
;__Lib_MathDouble.c,2103 :: 		
0x03D1	0x067A      	XORWF      R10, 0
;__Lib_MathDouble.c,2104 :: 		
0x03D2	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,2105 :: 		
0x03D3	0x2BD8      	GOTO       COMPARE_TESTALL
;__Lib_MathDouble.c,2107 :: 		
0x03D4	0x087A      	MOVF       R10, 0
;__Lib_MathDouble.c,2108 :: 		
0x03D5	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,2109 :: 		
0x03D6	0x2BFB      	GOTO       COMPARE_GT
;__Lib_MathDouble.c,2110 :: 		
0x03D7	0x2BFD      	GOTO       COMPARE_LT
;__Lib_MathDouble.c,2112 :: 		
COMPARE_TESTALL:
;__Lib_MathDouble.c,2113 :: 		
0x03D8	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,2114 :: 		
0x03D9	0x0273      	SUBWF      R3, 0
;__Lib_MathDouble.c,2115 :: 		
0x03DA	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,2116 :: 		
0x03DB	0x2BDF      	GOTO       COMPARE_C1
;__Lib_MathDouble.c,2117 :: 		
0x03DC	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,2118 :: 		
0x03DD	0x2BF3      	GOTO       GT_FALSE
;__Lib_MathDouble.c,2119 :: 		
0x03DE	0x2BF7      	GOTO       GT_TRUE
;__Lib_MathDouble.c,2120 :: 		
COMPARE_C1:
;__Lib_MathDouble.c,2121 :: 		
0x03DF	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,2122 :: 		
0x03E0	0x0272      	SUBWF      R2, 0
;__Lib_MathDouble.c,2123 :: 		
0x03E1	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,2124 :: 		
0x03E2	0x2BE6      	GOTO       COMPARE_C2
;__Lib_MathDouble.c,2125 :: 		
0x03E3	0x1C03      	BTFSS      STATUS, 0
